conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1976215677607584094,Thu Oct 09 09:18:34 +0000 2025,1,9. Macam mana nak layak jadi pemain warisan Malaysia? J: Players tersebut mesti lahir di Malaysia ada parents atau grandparents yang lahir dalam Malaysia ataupun dah tinggal di Malaysia at least 5 tahun. Inilah urusan yang FAM kena deal &amp; check dengan FIFA bukan urusan KDN,1976215702723010715,,AzriAbdullah22,in,,1,1,2,https://x.com/undefined/status/1976215702723010715,860483918,
1976210461189345765,Thu Oct 09 09:08:47 +0000 2025,29,@keeshmatstats Fam hanya boleh menang kalau dapat provide birth cert asal atok 7 players ni bukan isu warganegara atau tak tapi issue dia player tu layak atau tak utk main utk malaysia berdasarkan statut/rule fifa,1976213239949373910,,keeshmatstats,in,,0,3,3,https://x.com/undefined/status/1976213239949373910,383113513,
1976211037411053894,Thu Oct 09 09:00:02 +0000 2025,0,Mendagri Malaysia Tegaskan Pelanggaran Statuta FIFA Soal 7 Pemain Naturalisasi Urusan FAM Isu pemalsuan dokumen pemain naturalisasi Tim Nasional Malaysia masih menjadi bola panas di Negeri Jiran julukan Malaysia. Masalah ini bahkan sudah dibawa ke pembahasan parlemen mereka. https://t.co/KP6e2wAHnb,1976211037411053894,https://pbs.twimg.com/media/G2zPMqoaAAAOWOp.jpg,,in,,0,1,0,https://x.com/undefined/status/1976211037411053894,786549338818224128,
1976087534259331544,Thu Oct 09 08:54:08 +0000 2025,0,@malaysia_nt Booo boikot FAM malukan negara,1976209554049581561,,malaysia_nt,in,,0,0,0,https://x.com/undefined/status/1976209554049581561,2288097228,
1976209130940678641,Thu Oct 09 08:52:27 +0000 2025,0,Sebagai penyokong Sepakbola ITALI dalam hati aku harap FAM dan bolosepak Malaysia ni bubar je la. Fokus la sukan pondan Pikelbol,1976209130940678641,,,in,,0,0,0,https://x.com/undefined/status/1976209130940678641,492298165,
1976206955611029972,Thu Oct 09 08:43:49 +0000 2025,0,Dari jawapan Menteri ni dia gunakan kuasa Menteri untuk beri kewarganegaraan ikut jalur Perlembagaan Malaysia. Di pihak FIFA ada syarat tertentu untuk benarkan mana-mana pemain wakili sesebuah negara. Siapa patut faham dan patuhi syarat FIFA? FAM.,1976206955611029972,,,in,,0,0,1,https://x.com/undefined/status/1976206955611029972,44656783,
1976206142629167147,Thu Oct 09 08:40:35 +0000 2025,25,There you go.Perkara ini termaktub dalam perlembagaan persekutuan dan 7 player itu sah warganegara Malaysia.Ok Pudin lepas.Sekarang FAM yg tidak mematuhi eligibility rule FIFA (Article 7 FIFa Statutes).Berani kerana benar? https://t.co/D135YZzije,1976206142629167147,https://pbs.twimg.com/media/G2zlA0DaAAEoHb1.jpg,,in,,1,1,9,https://x.com/undefined/status/1976206142629167147,42418978,
1975329893622976680,Thu Oct 09 08:21:37 +0000 2025,0,@kikojoe_epul @FAM_Malaysia Team scout pun sama. Patut bertanggungjawab,1976201370022838602,,kikojoe_epul,in,,0,0,0,https://x.com/undefined/status/1976201370022838602,1703062029068836864,
1976145288478982224,Thu Oct 09 07:23:10 +0000 2025,0,@modsya Masalah tu kena setel dari segi dalaman. Tapi isu FIFA dengan FAM pudin angkat tangan pihak kerajaan anggap depa 7 orang sah sebagai warganegara . Kena ada orang lain pulak yang cabar keabsahan proses kewarganegaraan dari segi undang-undang Malaysia.,1976186663320826042,,modsya,in,,0,0,0,https://x.com/undefined/status/1976186663320826042,963182904,
1976185459136197003,Thu Oct 09 07:18:23 +0000 2025,15,Senarai pasukan dan jadual perlawanan Kejohanan Futsal B-19 Kebangsaan 2025 yang akan berlangsung selama seminggu di Arena Futsal FAM Kelana Jaya dari Jumaat 17 Oktober hingga Jumaat 24 Oktober 2025. #FAM #HarimauMalaya #Futsal https://t.co/GKb9uWvWZT,1976185459136197003,https://pbs.twimg.com/media/G2zSM0eaAAEZwPp.jpg,,in,,0,1,3,https://x.com/undefined/status/1976185459136197003,3191632944,
